word;pos;definition
Jawfoot;n.;See Maxilliped.
Jawing;n.;Scolding; clamorous or abusive talk.
Jawn;v. i.;See Yawn.
Jawy;a.;Relating to the jaws.
Jay;n.;Any one of the numerous species of birds belonging to Garrulus, Cyanocitta, and allied genera. They are allied to the crows, but are smaller, more graceful in form, often handsomely colored, and usually have a crest.
Jayet;n.;See Jet.
Jayhawker;n.;A name given to a free-booting, unenlisted, armed man or guerrilla.
Jazel;n.;A gem of an azure color.
Jazerant;n.;A coat of defense made of small plates of metal sewed upon linen or the like; also, this kind of armor taken generally; as, a coat of jazerant.
Jealous;a.;Zealous; solicitous; vigilant; anxiously watchful.
Jealous;a.;Apprehensive; anxious; suspiciously watchful.
Jealous;a.;Exacting exclusive devotion; intolerant of rivalry.
Jealous;a.;Disposed to suspect rivalry in matters of interest and affection; apprehensive regarding the motives of possible rivals, or the fidelity of friends; distrustful; having morbid fear of rivalry in love or preference given to another; painfully suspicious of the faithfulness of husband, wife, or lover.
Jealoushood;n.;Jealousy.
Jealously;adv.;In a jealous manner.
Jealousness;n.;State or quality of being jealous.
Jealousies;pl. ;of Jealousy
Jealousy;n.;The quality of being jealous; earnest concern or solicitude; painful apprehension of rivalship in cases nearly affecting one's happiness; painful suspicion of the faithfulness of husband, wife, or lover.
Jeames;n.;A footman; a flunky.
Jean;n.;A twilled cotton cloth.
Jears;n. pl.;See 1st Jeer (b).
Jeat;n.;See Jet.
Jedding ax;n.;A stone mason's tool, having a flat face and a pointed part.
Jee;v. t. & i.;See Gee.
Jeel;n.;A morass; a shallow lake.
Jeer;n.;A gear; a tackle.
Jeer;n.;An assemblage or combination of tackles, for hoisting or lowering the lower yards of a ship.
Jeered;imp. & p. p.;of Jeer
Jeering;p. pr. & vb. n.;of Jeer
Jeer;v.;To utter sarcastic or scoffing reflections; to speak with mockery or derision; to use taunting language; to scoff; as, to jeer at a speaker.
Jeer;v. t.;To treat with scoffs or derision; to address with jeers; to taunt; to flout; to mock at.
Jeer;n.;A railing remark or reflection; a scoff; a taunt; a biting jest; a flout; a jibe; mockery.
Jeerer;n.;A scoffer; a railer; a mocker.
Jeering;a.;Mocking; scoffing.
Jeering;n.;A mocking utterance.
Jeers;n. pl.;See 1st Jeer (b).
Jeffersonia;n.;An American herb with a pretty, white, solitary blossom, and deeply two-cleft leaves (Jeffersonia diphylla); twinleaf.
Jeffersonian;a.;Pertaining to, or characteristic of, Thomas Jefferson or his policy or political doctrines.
Jeffersonite;n.;A variety of pyroxene of olive-green color passing into brown. It contains zinc.
Jeg;n.;See Jig, 6.
Jehovah;n.;A Scripture name of the Supreme Being, by which he was revealed to the Jews as their covenant God or Sovereign of the theocracy; the "ineffable name" of the Supreme Being, which was not pronounced by the Jews.
Jehovist;n.;One who maintains that the vowel points of the word Jehovah, in Hebrew, are the proper vowels of that word; -- opposed to adonist.
Jehovist;n.;The writer of the passages of the Old Testament, especially those of the Pentateuch, in which the Supreme Being is styled Jehovah. See Elohist.
Jehovistic;a.;Relating to, or containing, Jehovah, as a name of God; -- said of certain parts of the Old Testament, especially of the Pentateuch, in which Jehovah appears as the name of the Deity. See Elohistic.
Jehu;n.;A coachman; a driver; especially, one who drives furiously.
Jejunal;a.;Pertaining to the jejunum.
Jejune;a.;Lacking matter; empty; void of substance.
Jejune;a.;Void of interest; barren; meager; dry; as, a jejune narrative.
Jejunity;n.;The quality of being jejune; jejuneness.
Jejunum;n.;The middle division of the small intestine, between the duodenum and ileum; -- so called because usually found empty after death.
Jelerang;n.;A large, handsome squirrel (Sciurus Javensis), native of Java and Southern Asia; -- called also Java squirrel.
Jell;v. i.;To jelly.
Jellied;a.;Brought to the state or consistence of jelly.
Jellies;pl. ;of Jelly
Jelly;n.;Anything brought to a gelatinous condition; a viscous, translucent substance in a condition between liquid and solid; a stiffened solution of gelatin, gum, or the like.
Jelly;n.;The juice of fruits or meats boiled with sugar to an elastic consistence; as, currant jelly; calf's-foot jelly.
Jellied;imp. & p. p.;of Jelly
Jellying;p. pr. & vb. n.;of Jelly
Jelly;v. i.;To become jelly; to come to the state or consistency of jelly.
Jellyfish;n.;Any one of the acalephs, esp. one of the larger species, having a jellylike appearance. See Medusa.
Jemidar;n.;The chief or leader of a hand or body of persons; esp., in the native army of India, an officer of a rank corresponding to that of lieutenant in the English army.
Jemlah goat;;The jharal.
Jemminess;n.;Spruceness.
Jemmy;a.;Spruce.
Jemmy;n.;A short crowbar. See Jimmy.
Jemmy;n.;A baked sheep's head.
Jeniquen;n.;A Mexican name for the Sisal hemp (Agave rigida, var. Sisalana); also, its fiber.
Jenite;n.;See Yenite.
Jenkins;n.;name of contempt for a flatterer of persons high in social or official life; as, the Jenkins employed by a newspaper.
Jennet;n.;A small Spanish horse; a genet.
Jenneting;n.;A variety of early apple. See Juneating.
Jennies;pl. ;of Jenny
Jenny;n.;A familiar or pet form of the proper name Jane.
Jenny;n.;A familiar name of the European wren.
Jenny;n.;A machine for spinning a number of threads at once, -- used in factories.
Jentling;n.;A fish of the genus Leuciscus; the blue chub of the Danube.
Jeofail;n.;An oversight in pleading, or the acknowledgment of a mistake or oversight.
Jeoparded;imp. & p. p.;of Jeopard
Jeoparding;p. pr. & vb. n.;of Jeopard
Jeopard;v. t.;To put in jeopardy; to expose to loss or injury; to imperil; to hazard.
Jeoparder;n.;One who puts in jeopardy.
Jeopardized;imp. & p. p.;of Jeopardize
Jeopardizing;p. pr. & vb. n.;of Jeopardize
Jeopardize;v. t.;To expose to loss or injury; to risk; to jeopard.
Jeopardous;a.;Perilous; hazardous.
Jeopardy;n.;Exposure to death, loss, or injury; hazard; danger.
Jeopardy;v. t.;To jeopardize.
Jerboa;n.;Any small jumping rodent of the genus Dipus, esp. D. Aegyptius, which is common in Egypt and the adjacent countries. The jerboas have very long hind legs and a long tail.
Jereed;n.;A blunt javelin used by the people of the Levant, especially in mock fights.
Jeremiad;n.;Alt. of Jeremiade
Jeremiade;n.;A tale of sorrow, disappointment, or complaint; a doleful story; a dolorous tirade; -- generally used satirically.
Jerfalcon;n.;The gyrfalcon.
Jerguer;n.;See Jerquer.
Jerid;n.;Same as Jereed.
Jerk;v. t.;To cut into long slices or strips and dry in the sun; as, jerk beef. See Charqui.
Jerked;imp. & p. p.;of Jerk
Jerking;p. pr. & vb. n.;of Jerk
Jerk;v. t.;To beat; to strike.
Jerk;v. t.;To give a quick and suddenly arrested thrust, push, pull, or twist, to; to yerk; as, to jerk one with the elbow; to jerk a coat off.
Jerk;v. t.;To throw with a quick and suddenly arrested motion of the hand; as, to jerk a stone.
Jerk;v. i.;To make a sudden motion; to move with a start, or by starts.
Jerk;v. i.;To flout with contempt.
Jerk;n.;A short, sudden pull, thrust, push, twitch, jolt, shake, or similar motion.
Jerk;n.;A sudden start or spring.
Jerker;n.;A beater.
Jerker;n.;One who jerks or moves with a jerk.
Jerker;n.;A North American river chub (Hybopsis biguttatus).
Jerkin;n.;A jacket or short coat; a close waistcoat.
Jerkin;n.;A male gyrfalcon.
Jerking;n.;The act of pulling, pushing, or throwing, with a jerk.
Jerkinhead;n.;The hipped part of a roof which is hipped only for a part of its height, leaving a truncated gable.
Jerky;a.;Moving by jerks and starts; characterized by abrupt transitions; as, a jerky vehicle; a jerky style.
Jermoonal;n.;The Himalayan now partridge.
Jeronymite;n.;One belonging of the mediaeval religious orders called Hermits of St. Jerome.
Jeropigia;n.;See Geropigia.
Jerquer;n.;A customhouse officer who searches ships for unentered goods.
Jerquing;n.;The searching of a ship for unentered goods.
Jerquing;n.;The searching of a ship for unentered goods.
Jerry-built;a.;Built hastily and of bad materials; as, jerry-built houses.
Jerseys;pl. ;of Jersey
Jersey;n.;The finest of wool separated from the rest; combed wool; also, fine yarn of wool.
Jersey;n.;A kind of knitted jacket; hence, in general, a closefitting jacket or upper garment made of an elastic fabric (as stockinet).
Jersey;n.;One of a breed of cattle in the Island of Jersey. Jerseys are noted for the richness of their milk.
Jerusalem;n.;The chief city of Palestine, intimately associated with the glory of the Jewish nation, and the life and death of Jesus Christ.
Jervine;n.;A poisonous alkaloid resembling veratrine, and found with it in white hellebore (Veratrum album); -- called also jervina.
Jesses;pl. ;of Jess
Jess;n.;A short strap of leather or silk secured round the leg of a hawk, to which the leash or line, wrapped round the falconer's hand, was attached when used. See Illust. of Falcon.
Jessamine;n.;Same as Jasmine.
Jessant;a.;Springing up or emerging; -- said of a plant or animal.
Jesse;n.;Any representation or suggestion of the genealogy of Christ, in decorative art
Jesse;n.;A genealogical tree represented in stained glass.
Jesse;n.;A candlestick with many branches, each of which bears the name of some one of the descendants of Jesse; -- called also  tree of Jesse.
Jessed;a.;Having jesses on, as a hawk.
Jest;n.;A deed; an action; a gest.
Jest;n.;A mask; a pageant; an interlude.
Jest;n.;Something done or said in order to amuse; a joke; a witticism; a jocose or sportive remark or phrase. See Synonyms under Jest, v. i.
Jest;v. i.;The object of laughter or sport; a laughingstock.
Jested;imp. & p. p.;of Jest
Jesting;p. pr. & vb. n.;of Jest
Jest;v. i.;To take part in a merrymaking; -- especially, to act in a mask or interlude.
Jest;v. i.;To make merriment by words or actions; to joke; to make light of anything.
Jester;n.;A buffoon; a merry-andrew; a court fool.
Jester;n.;A person addicted to jesting, or to indulgence in light and amusing talk.
Jestful;a.;Given to jesting; full of jokes.
Jesting;a.;Sportive; not serious; fit for jests.
Jesting;n.;The act or practice of making jests; joking; pleasantry.
Jestingly;adv.;In a jesting manner.
Jesuit;n.;One of a religious order founded by Ignatius Loyola, and approved in 1540, under the title of The Society of Jesus.
Jesuit;n.;Fig.: A crafty person; an intriguer.
Jesuited;a.;Conforming to the principles of the Jesuits.
Jesuitess;n.;One of an order of nuns established on the principles of the Jesuits, but suppressed by Pope Urban in 1633.
Jesuitic;a.;Alt. of Jesuitical
Jesuitical;a.;Of or pertaining to the Jesuits, or to their principles and methods.
Jesuitical;a.;Designing; cunning; deceitful; crafty; -- an opprobrious use of the word.
Jesuitically;adv.;In a jesuitical manner.
Jesuitism;n.;The principles and practices of the Jesuits.
Jesuitism;n.;Cunning; deceit; deceptive practices to effect a purpose; subtle argument; -- an opprobrious use of the  word.
Jesuitocracy;n.;Government by Jesuits; also, the whole body of Jesuits in a country.
Jesuitry;n.;Jesuitism; subtle argument.
Jesus;n.;The Savior; the name of the Son of God as announced by the angel to his parents; the personal name of Our Lord, in distinction from Christ, his official appellation.
Jet;n.;Same as 2d Get.
Jet;n.;A variety of lignite, of a very compact texture and velvet black color, susceptible of a good polish, and often wrought into mourning jewelry, toys, buttons, etc. Formerly called also black amber.
Jet;n.;A shooting forth; a spouting; a spurt; a sudden rush or gush, as of water from a pipe, or of flame from an orifice; also, that which issues in a jet.
Jet;n.;Drift; scope; range, as of an argument.
Jet;n.;The sprue of a type, which is broken from it when the type is cold.
Jetted;imp. & p. p.;of Jet
Jetting;p. pr. & vb. n.;of Jet
Jet;v. i.;To strut; to walk with a lofty or haughty gait; to be insolent; to obtrude.
Jet;v. i.;To jerk; to jolt; to be shaken.
Jet;v. i.;To shoot forward or out; to project; to jut out.
Jet;v. t.;To spout; to emit in a stream or jet.
Jet-black;a.;Black as jet; deep black.
Jets d'eau;pl. ;of Jet d'eau
Jet d'eau;;A stream of water spouting from a fountain or pipe (especially from one arranged to throw water upward), in a public place or in a garden, for ornament.
Jeterus;n.;A yellowness of the parts of plants which are normally green; yellows.
Jetsam;n.;Alt. of Jetson
Jetson;n.;Goods which sink when cast into the sea, and remain under water; -- distinguished from flotsam, goods which float, and ligan, goods which are sunk attached to a buoy.
Jetson;n.;Jettison. See Jettison, 1.
Jetteau;n.;See Jet d'eau.
Jettee;n.;See Jetty, n.
Jetter;n.;One who struts; one who bears himself jauntily; a fop.
Jettiness;n.;The state of being jetty; blackness.
Jettison;n.;The throwing overboard of goods from necessity, in order to lighten a vessel in danger of wreck.
Jettison;n.;See Jetsam, 1.
Jetton;n.;A metal counter used in playing cards.
Jetty;a.;Made of jet, or like jet in color.
Jetties;pl. ;of Jetty
Jetty;n.;A part of a building that jets or projects beyond the rest, and overhangs the wall below.
